NeckYaw;angleAsIs;speed;NeckPitch;angleAsIs;speed;
0,0;-0,0;0,0;0,0;-0,0;0,0;
0,0;-0,0;0,0;0,0;0,0;0,0;
0,0;-0,0;0,0;-6,25;0,0;-3,125;
0,0;0,0;0,0;-12,5;-3,58;-4,46;
0,0;0,0;0,0;-18,75;-7,16;-5,795;
0,0;0,0;0,0;-25,0;-13,79;-5,605;
0,0;0,0;0,0;-31,25;-20,43;-5,41;
0,0;0,0;0,0;-37,5;-26,62;-5,4399996;
0,0;-0,0;0,0;-43,75;-32,81;-5,4699993;
0,0;-0,0;0,0;-50,0;-39,07;-5,465;
0,0;-0,0;0,0;-43,75;-45,34;0,7950001;
0,0;0,0;0,0;-37,5;-39,07;0,78499985;
0,0;0,0;0,0;-31,25;-38,16;3,455;
0,0;-0,0;0,0;-25,0;-34,21;4,6049995;
0,0;-0,0;0,0;-18,75;-30,25;5,75;
0,0;-0,0;0,0;-12,5;-23,67;5,585;
0,0;-0,0;0,0;-6,25;-17,08;5,415;
0,0;0,0;0,0;0,0;-10,89;5,445;
5,625;0,0;2,8125;0,0;-4,69;2,345;
11,25;3,22;4,015;0,0;-2,0;1,0;
16,875;6,44;5,2174997;0,0;0,7;-0,35;
22,5;12,42;5,04;0,0;0,3;-0,15;
28,125;18,19;4,9674997;0,0;0,13;-0,065;
33,75;23,88;4,9350004;0,0;0,06;-0,03;
39,375;29,56;4,9075003;0,0;-0,05;0,025;
45,0;35,18;4,91;0,0;-0,03;0,0;
50,625;40,8;4,9125004;0,0;0,03;0,0;
56,25;46,43;4,91;0,0;0,03;0,0;
61,875;52,05;4,9125004;0,0;0,03;0,0;
67,5;57,68;4,91;0,0;0,03;0,0;
73,125;63,3;4,9125004;0,0;0,03;0,0;
78,75;68,93;4,91;0,0;0,03;0,0;
84,375;74,55;4,9124985;0,0;0,03;0,0;
90,0;80,18;4,91;0,0;0,03;0,0;
90,0;85,8;2,0999985;-6,25;0,03;-3,14;
90,0;88,21;0,89500046;-12,5;-3,57;-4,465;
90,0;90,62;-0,31000137;-18,75;-7,17;-5,79;
90,0;90,26;-0,13000107;-25,0;-13,79;-5,605;
90,0;89,91;0,04499817;-31,25;-20,42;-5,415;
90,0;89,96;0,020000458;-37,5;-26,62;-5,4399996;
90,0;90,01;0,0;-43,75;-32,82;-5,465;
90,0;90,01;0,0;-50,0;-39,08;-5,459999;
90,0;90,01;0,0;-43,75;-45,33;0,7900009;
90,0;90,01;0,0;-37,5;-45,07;3,7849998;
90,0;90,01;0,0;-31,25;-44,89;6,8199997;
90,0;90,01;0,0;-25,0;-37,86;6,4300003;
90,0;90,01;0,0;-18,75;-30,83;6,04;
90,0;90,01;0,0;-12,5;-23,92;5,71;
90,0;90,01;0,0;-6,25;-17,01;5,38;
90,0;90,01;0,0;0,0;-10,85;5,425;
84,375;90,01;-2,817501;0,0;-4,69;2,345;
78,75;86,78;-4,0149994;0,0;-2,0;1,0;
73,125;83,55;-5,2125015;0,0;0,7;-0,35;
67,5;77,59;-5,044998;0,0;0,3;-0,15;
61,875;71,62;-4,8725014;0,0;-0,13;0,065;
56,25;66,04;-4,8950005;0,0;-0,06;0,03;
50,625;60,46;-4,9174995;0,0;0,05;-0,025;
45,0;54,83;-4,915001;0,0;0,03;0,0;
39,375;49,2;-4,9125004;0,0;-0,03;0,0;
33,75;43,57;-4,91;0,0;-0,03;0,0;
28,125;37,95;-4,9125004;0,0;-0,03;0,0;
22,5;32,32;-4,91;0,0;-0,02;0,0;
16,875;26,7;-4,9125004;0,0;-0,02;0,0;
11,25;21,07;-4,91;0,0;-0,02;0,0;
5,625;15,45;-4,9125;0,0;-0,02;0,0;
0,0;9,82;-4,91;0,0;-0,02;0,0;
-5,625;4,2;-4,9125;0,0;-0,02;0,0;
-11,25;-1,43;-4,91;0,0;-0,02;0,0;
-16,875;-7,05;-4,9125;0,0;-0,02;0,0;
-22,5;-12,68;-4,91;0,0;-0,02;0,0;
-28,125;-18,3;-4,9125004;0,0;-0,02;0,0;
-33,75;-23,93;-4,91;0,0;-0,02;0,0;
-39,375;-29,55;-4,9125004;0,0;-0,02;0,0;
-45,0;-35,18;-4,91;0,0;-0,02;0,0;
-50,625;-40,8;-4,9125004;0,0;-0,02;0,0;
-56,25;-46,43;-4,91;0,0;-0,02;0,0;
-61,875;-52,05;-4,9125004;0,0;-0,02;0,0;
-67,5;-57,68;-4,91;0,0;-0,02;0,0;
-73,125;-63,31;-4,9074993;0,0;-0,02;0,0;
-78,75;-68,92;-4,915001;0,0;-0,02;0,0;
-84,375;-74,54;-4,9174995;0,0;-0,02;0,0;
-90,0;-80,17;-4,915001;0,0;-0,02;0,0;
-90,0;-85,8;-2,0999985;-6,25;-0,02;-3,115;
-90,0;-88,21;-0,89500046;-12,5;-3,59;-4,455;
-90,0;-90,61;0,3050003;-18,75;-7,16;-5,795;
-90,0;-90,27;0,13499832;-25,0;-13,79;-5,605;
-90,0;-89,92;-0,040000916;-31,25;-20,42;-5,415;
-90,0;-89,96;-0,020000458;-37,5;-26,62;-5,4399996;
-90,0;-90,01;0,0;-43,75;-32,82;-5,465;
-90,0;-90,01;0,0;-50,0;-39,08;-5,459999;
-90,0;-90,01;0,0;-43,75;-45,33;0,7900009;
-90,0;-90,01;0,0;-37,5;-45,07;3,7849998;
-90,0;-90,01;0,0;-31,25;-44,89;6,8199997;
-90,0;-90,01;0,0;-25,0;-37,86;6,4300003;
-90,0;-90,01;0,0;-18,75;-30,83;6,04;
-90,0;-90,01;0,0;-12,5;-23,92;5,71;
-90,0;-90,01;0,0;-6,25;-17,01;5,38;
-90,0;-90,01;0,0;0,0;-10,85;5,425;
-87,1875;-90,01;1,4112511;0,0;-4,69;2,345;
-84,375;-88,39;2,0074997;0,0;-2,0;1,0;
-81,5625;-86,77;2,6037483;0,0;0,69;-0,345;
-78,75;-83,79;2,5200005;0,0;0,29;-0,145;
-75,9375;-80,81;2,4362488;0,0;-0,11;0,055;
-73,125;-78,02;2,4474983;0,0;-0,05;0,025;
-70,3125;-75,22;2,4537506;0,0;0,03;0,0;
-67,5;-72,41;2,4550018;0,0;0,03;0,0;
-64,6875;-69,6;2,4562492;0,0;0,03;0,0;
-61,875;-66,79;2,4575005;0,0;0,02;0,0;
-59,0625;-63,97;2,4537506;0,0;0,02;0,0;
-56,25;-61,16;2,455;0,0;0,02;0,0;
-53,4375;-58,35;2,4562492;0,0;0,02;0,0;
-50,625;-55,54;2,4575005;0,0;0,02;0,0;
-47,8125;-52,72;2,4537506;0,0;0,02;0,0;
-45,0;-49,91;2,455;0,0;0,02;0,0;
-42,1875;-47,1;2,4562492;0,0;0,02;0,0;
-39,375;-44,29;2,4575005;0,0;0,02;0,0;
-36,5625;-41,47;2,4537506;0,0;0,02;0,0;
-33,75;-38,66;2,455;0,0;0,02;0,0;
-30,9375;-35,85;2,4562492;0,0;0,02;0,0;
-28,125;-33,04;2,4575005;0,0;0,02;0,0;
-25,3125;-30,22;2,4537497;0,0;0,02;0,0;
-22,5;-27,41;2,455;0,0;0,02;0,0;
-19,6875;-24,6;2,4562502;0,0;0,02;0,0;
-16,875;-21,78;2,4525003;0,0;0,02;0,0;
-14,0625;-18,97;2,4537497;0,0;0,02;0,0;
-11,25;-16,16;2,455;0,0;0,02;0,0;
-8,4375;-13,35;2,4562502;0,0;0,02;0,0;
-5,625;-10,53;2,4524999;0,0;0,02;0,0;
-2,8125;-7,72;2,45375;0,0;0,02;0,0;
0,0;-4,91;4,91;0,0;0,02;0,0;
0,0;-2,1;1,05;0,0;0,02;0,0;
0,0;-0,89;0,445;-6,25;0,02;-3,135;
0,0;0,31;-0,155;-12,5;0,02;-6,26;
0,0;0,13;-0,065;-18,75;-7,0;-5,875;
0,0;-0,05;0,025;-25,0;-14,03;-5,485;
0,0;-0,02;0,0;-31,25;-20,31;-5,4700003;
0,0;0,01;0,0;-37,5;-26,59;-5,455;
0,0;0,01;0,0;-43,75;-32,83;-5,459999;
0,0;0,01;0,0;-50,0;-39,08;-5,459999;
0,0;0,01;0,0;-43,75;-45,33;0,7900009;
0,0;0,01;0,0;-37,5;-39,08;0,7900009;
0,0;0,01;0,0;-31,25;-38,18;3,4650002;
0,0;0,01;0,0;-25,0;-37,27;6,135;
0,0;0,01;0,0;-18,75;-30,25;5,75;
0,0;0,01;0,0;-12,5;-23,23;5,365;
0,0;0,01;0,0;-6,25;-17,08;5,415;
0,0;0,01;0,0;0,0;-10,94;5,47;
5,625;0,01;2,8075;0,0;-4,68;2,34;
11,25;0,01;5,62;0,0;1,58;-0,79;
16,875;6,44;5,2174997;0,0;0,68;-0,34;
22,5;12,88;4,81;0,0;-0,24;0,12;
28,125;18,39;4,8675003;0,0;-0,11;0,055;
33,75;23,89;4,9300003;0,0;0,07;-0,035;
39,375;29,54;4,9174995;0,0;0,04;0,0;
45,0;35,18;4,91;0,0;-0,05;0,025;
50,625;40,81;4,9074993;0,0;-0,02;0,0;
56,25;46,43;4,91;0,0;0,03;0,0;
61,875;52,05;4,9125004;0,0;0,03;0,0;
67,5;57,67;4,915001;0,0;0,03;0,0;
73,125;63,3;4,9125004;0,0;0,03;0,0;
78,75;68,93;4,91;0,0;0,03;0,0;
84,375;74,55;4,9124985;0,0;0,02;0,0;
90,0;80,17;4,915001;0,0;0,02;0,0;
90,0;85,8;2,0999985;-6,25;0,02;-3,135;
90,0;91,43;-0,71500015;-12,5;0,02;-6,26;
90,0;90,61;-0,3050003;-18,75;-7,0;-5,875;
90,0;89,79;0,10499954;-25,0;-14,03;-5,485;
90,0;89,91;0,04499817;-31,25;-20,31;-5,4700003;
90,0;90,03;0,0;-37,5;-26,59;-5,455;
90,0;90,03;0,0;-43,75;-32,83;-5,459999;
90,0;90,03;0,0;-50,0;-39,08;-5,459999;
90,0;90,03;0,0;-43,75;-45,33;0,7900009;
90,0;90,03;0,0;-37,5;-39,08;0,7900009;
90,0;90,03;0,0;-31,25;-38,17;3,459999;
90,0;90,03;0,0;-25,0;-34,21;4,6049995;
90,0;90,03;0,0;-18,75;-28,94;5,0950003;
90,0;90,03;0,0;-12,5;-23,66;5,58;
90,0;90,03;0,0;-6,25;-17,27;5,51;
90,0;90,03;0,0;0,0;-10,89;5,445;
84,375;90,03;-2,8274994;0,0;-4,65;2,325;
78,75;90,03;-5,6399994;0,0;1,58;-0,79;
73,125;83,58;-5,227501;0,0;0,68;-0,34;
67,5;77,12;-4,8100014;0,0;-0,24;0,12;
61,875;71,61;-4,8675003;0,0;-0,11;0,055;
56,25;66,1;-4,924999;0,0;0,07;-0,035;
50,625;60,46;-4,9174995;0,0;0,04;0,0;
45,0;54,82;-4,91;0,0;-0,05;0,025;
39,375;49,2;-4,9125004;0,0;-0,02;0,0;
33,75;43,58;-4,915001;0,0;0,03;0,0;
28,125;37,95;-4,9125004;0,0;0,03;0,0;
22,5;32,32;-4,91;0,0;0,03;0,0;
16,875;26,7;-4,9125004;0,0;0,02;0,0;
11,25;21,08;-4,915;0,0;0,02;0,0;
5,625;15,45;-4,9125;0,0;0,02;0,0;
0,0;9,82;-4,91;0,0;0,02;0,0;
-5,625;4,2;-4,9125;0,0;0,02;0,0;
-11,25;-1,42;-4,915;0,0;0,02;0,0;
-16,875;-7,05;-4,9125;0,0;0,02;0,0;
-22,5;-12,68;-4,91;0,0;0,02;0,0;
-28,125;-18,3;-4,9125004;0,0;0,02;0,0;
-33,75;-23,92;-4,915;0,0;0,02;0,0;
-39,375;-29,55;-4,9125004;0,0;0,02;0,0;
-45,0;-35,18;-4,91;0,0;0,02;0,0;
-50,625;-40,8;-4,9125004;0,0;0,02;0,0;
-56,25;-46,42;-4,915001;0,0;0,02;0,0;
-61,875;-52,05;-4,9125004;0,0;0,02;0,0;
-67,5;-57,68;-4,91;0,0;0,02;0,0;
-73,125;-63,3;-4,9125004;0,0;0,02;0,0;
-78,75;-68,92;-4,915001;0,0;0,02;0,0;
-84,375;-74,55;-4,9124985;0,0;0,02;0,0;
-90,0;-80,18;-4,91;0,0;0,02;0,0;
-90,0;-85,8;-2,0999985;-6,25;0,02;-3,135;
-90,0;-91,42;0,7099991;-12,5;0,02;-6,26;
-90,0;-90,61;0,3050003;-18,75;-7,0;-5,875;
-90,0;-89,8;-0,099998474;-25,0;-14,03;-5,485;
-90,0;-89,91;-0,04499817;-31,25;-20,31;-5,4700003;
-90,0;-90,03;0,0;-37,5;-26,59;-5,455;
-90,0;-90,03;0,0;-43,75;-32,83;-5,459999;
-90,0;-90,03;0,0;-50,0;-39,08;-5,459999;
-90,0;-90,03;0,0;-43,75;-45,33;0,7900009;
-90,0;-90,03;0,0;-37,5;-39,08;0,7900009;
-90,0;-90,03;0,0;-31,25;-38,17;3,459999;
-90,0;-90,03;0,0;-25,0;-37,27;6,135;
-90,0;-90,03;0,0;-18,75;-30,25;5,75;
-90,0;-90,03;0,0;-12,5;-23,23;5,365;
-90,0;-90,03;0,0;-6,25;-17,08;5,415;
-90,0;-90,03;0,0;0,0;-10,94;5,47;
-87,1875;-90,03;1,4212494;0,0;-4,68;2,34;
-84,375;-90,03;2,8274994;0,0;1,58;-0,79;
-81,5625;-86,79;2,6137505;0,0;0,68;-0,34;
-78,75;-83,55;2,4000015;0,0;-0,23;0,115;
-75,9375;-80,8;2,4312515;0,0;-0,1;0,05;
-73,125;-78,05;2,4625015;0,0;0,04;0,0;
-70,3125;-75,23;2,4587517;0,0;0,04;0,0;
-67,5;-72,41;2,4550018;0,0;0,04;0,0;
-64,6875;-69,59;2,4512482;0,0;0,04;0,0;
-61,875;-66,78;2,4524994;0,0;0,04;0,0;
-59,0625;-63,97;2,4537506;0,0;0,04;0,0;
-56,25;-61,16;2,455;0,0;0,04;0,0;
-53,4375;-58,35;2,4562492;0,0;0,04;0,0;
-50,625;-55,53;2,4524994;0,0;0,04;0,0;
-47,8125;-52,72;2,4537506;0,0;0,04;0,0;
-45,0;-49,92;2,459999;0,0;0,04;0,0;
-42,1875;-47,1;2,4562492;0,0;0,04;0,0;
-39,375;-44,28;2,4524994;0,0;0,04;0,0;
-36,5625;-41,47;2,4537506;0,0;0,04;0,0;
-33,75;-38,66;2,455;0,0;0,04;0,0;
-30,9375;-35,85;2,4562492;0,0;0,04;0,0;
-28,125;-33,03;2,4524994;0,0;0,04;0,0;
-25,3125;-30,22;2,4537497;0,0;0,04;0,0;
-22,5;-27,41;2,455;0,0;0,04;0,0;
-19,6875;-24,6;2,4562502;0,0;0,04;0,0;
-16,875;-21,79;2,4575005;0,0;0,04;0,0;
-14,0625;-18,97;2,4537497;0,0;0,04;0,0;
-11,25;-16,16;2,455;0,0;0,04;0,0;
-8,4375;-13,34;2,45125;0,0;0,04;0,0;
-5,625;-10,53;2,4524999;0,0;0,04;0,0;
-2,8125;-7,72;2,45375;0,0;0,04;0,0;
0,0;-4,91;4,91;0,0;0,04;-0,04;
0,0;0,71;-0,355;0,0;-0,01;0,0;
0,0;6,33;-3,165;-6,25;-0,06;-3,095;
0,0;2,71;-1,355;-12,5;-3,6;-4,45;
0,0;-0,92;0,46;-18,75;-7,14;-5,8050003;
0,0;-0,39;0,195;-25,0;-13,79;-5,605;
0,0;0,14;-0,07;-31,25;-20,43;-5,41;
0,0;0,06;-0,03;-37,5;-26,62;-5,4399996;
0,0;-0,02;0,0;-43,75;-32,82;-5,465;
0,0;-0,02;0,0;-50,0;-39,07;-5,465;
0,0;-0,02;0,0;-43,75;-45,33;0,7900009;
0,0;-0,02;0,0;-37,5;-45,07;3,7849998;
0,0;-0,02;0,0;-31,25;-44,89;6,8199997;
0,0;-0,02;0,0;-25,0;-37,86;6,4300003;
0,0;-0,02;0,0;-18,75;-30,83;6,04;
0,0;-0,02;0,0;-12,5;-23,92;5,71;
0,0;-0,02;0,0;-6,25;-17,01;5,38;
0,0;-0,02;0,0;0,0;-10,85;5,425;
5,625;-0,02;2,8225;0,0;-4,69;2,345;
11,25;3,21;4,02;0,0;-2,01;1,005;
16,875;6,44;5,2174997;0,0;0,69;-0,345;
22,5;12,42;5,04;0,0;0,3;-0,15;
28,125;18,39;4,8675003;0,0;-0,12;0,06;
33,75;23,96;4,8950005;0,0;-0,06;0,03;
39,375;29,54;4,9174995;0,0;0,05;-0,025;
45,0;35,17;4,915001;0,0;0,03;0,0;
50,625;40,8;4,9125004;0,0;-0,03;0,0;
56,25;46,42;4,915001;0,0;-0,03;0,0;
61,875;52,05;4,9125004;0,0;-0,03;0,0;
67,5;57,67;4,915001;0,0;-0,03;0,0;
73,125;63,3;4,9125004;0,0;-0,02;0,0;
78,75;68,92;4,915001;0,0;-0,02;0,0;
84,375;74,55;4,9124985;0,0;-0,02;0,0;
90,0;80,18;4,91;0,0;-0,02;0,0;
90,0;85,8;2,0999985;-6,25;-0,02;-3,115;
90,0;88,21;0,89500046;-12,5;-3,59;-4,455;
90,0;90,61;-0,3050003;-18,75;-7,16;-5,795;
90,0;90,26;-0,13000107;-25,0;-13,79;-5,605;
90,0;89,91;0,04499817;-31,25;-20,42;-5,415;
90,0;89,97;0,0;-37,5;-26,62;-5,4399996;
90,0;90,02;0,0;-43,75;-32,82;-5,465;
90,0;90,02;0,0;-50,0;-39,08;-5,459999;
90,0;90,02;0,0;-43,75;-45,33;0,7900009;
90,0;90,02;0,0;-37,5;-45,07;3,7849998;
90,0;90,02;0,0;-31,25;-44,89;6,8199997;
90,0;90,02;0,0;-25,0;-37,86;6,4300003;
90,0;90,02;0,0;-18,75;-30,83;6,04;
90,0;90,02;0,0;-12,5;-23,92;5,71;
90,0;90,02;0,0;-6,25;-17,01;5,38;
90,0;90,02;0,0;0,0;-10,85;5,425;
84,375;90,02;-2,8224983;0,0;-4,69;2,345;
78,75;86,78;-4,0149994;0,0;-2,0;1,0;
73,125;83,55;-5,2125015;0,0;0,7;-0,35;
67,5;77,58;-5,040001;0,0;0,3;-0,15;
61,875;71,61;-4,8675003;0,0;-0,13;0,065;
56,25;66,04;-4,8950005;0,0;-0,06;0,03;
50,625;60,47;-4,9225006;0,0;0,05;-0,025;
45,0;54,83;-4,915001;0,0;0,03;0,0;
39,375;49,19;-4,9074993;0,0;-0,03;0,0;
33,75;43,57;-4,91;0,0;-0,03;0,0;
28,125;37,95;-4,9125004;0,0;-0,03;0,0;
22,5;32,33;-4,915001;0,0;-0,02;0,0;
16,875;26,7;-4,9125004;0,0;-0,02;0,0;
11,25;21,08;-4,915;0,0;-0,02;0,0;
5,625;15,45;-4,9125;0,0;-0,02;0,0;
0,0;9,83;-4,915;0,0;-0,02;0,0;
-5,625;4,2;-4,9125;0,0;-0,02;0,0;
-11,25;-1,42;-4,915;0,0;-0,02;0,0;
-16,875;-7,05;-4,9125;0,0;-0,02;0,0;
-22,5;-12,67;-4,915;0,0;-0,02;0,0;
-28,125;-18,3;-4,9125004;0,0;-0,02;0,0;
-33,75;-23,92;-4,915;0,0;-0,02;0,0;
-39,375;-29,55;-4,9125004;0,0;-0,02;0,0;
-45,0;-35,17;-4,915001;0,0;-0,02;0,0;
-50,625;-40,8;-4,9125004;0,0;-0,02;0,0;
-56,25;-46,42;-4,915001;0,0;-0,02;0,0;
-61,875;-52,05;-4,9125004;0,0;-0,02;0,0;
-67,5;-57,67;-4,915001;0,0;-0,02;0,0;
-73,125;-63,3;-4,9125004;0,0;-0,02;0,0;
-78,75;-68,92;-4,915001;0,0;-0,02;0,0;
-84,375;-74,55;-4,9124985;0,0;-0,02;0,0;
-90,0;-80,17;-4,915001;0,0;-0,02;0,0;
-90,0;-85,8;-2,0999985;-6,25;-0,02;-3,115;
-90,0;-88,21;-0,89500046;-12,5;-3,59;-4,455;
-90,0;-90,61;0,3050003;-18,75;-7,16;-5,795;
-90,0;-90,26;0,13000107;-25,0;-13,79;-5,605;
-90,0;-89,91;-0,04499817;-31,25;-20,42;-5,415;
-90,0;-89,96;-0,020000458;-37,5;-26,62;-5,4399996;
-90,0;-90,02;0,0;-43,75;-32,82;-5,465;
-90,0;-90,02;0,0;-50,0;-39,08;-5,459999;
-90,0;-90,02;0,0;-43,75;-45,33;0,7900009;
-90,0;-90,02;0,0;-37,5;-45,07;3,7849998;
-90,0;-90,02;0,0;-31,25;-44,89;6,8199997;
-90,0;-90,02;0,0;-25,0;-37,86;6,4300003;
-90,0;-90,02;0,0;-18,75;-30,83;6,04;
-90,0;-90,02;0,0;-12,5;-23,92;5,71;
-90,0;-90,02;0,0;-6,25;-17,01;5,38;
-90,0;-90,02;0,0;0,0;-10,85;5,425;
-87,1875;-90,02;1,4162483;0,0;-4,69;2,345;
-84,375;-88,39;2,0074997;0,0;-2,0;1,0;
-81,5625;-86,77;2,6037483;0,0;0,69;-0,345;
-78,75;-83,79;2,5200005;0,0;0,29;-0,145;
-75,9375;-80,8;2,4312515;0,0;-0,11;0,055;
-73,125;-78,02;2,4474983;0,0;-0,05;0,025;
-70,3125;-75,23;2,4587517;0,0;0,03;0,0;
-67,5;-72,42;2,459999;0,0;0,03;0,0;
-64,6875;-69,6;2,4562492;0,0;0,03;0,0;
-61,875;-66,79;2,4575005;0,0;0,02;0,0;
-59,0625;-63,97;2,4537506;0,0;0,02;0,0;
-56,25;-61,16;2,455;0,0;0,02;0,0;
-53,4375;-58,35;2,4562492;0,0;0,02;0,0;
-50,625;-55,53;2,4524994;0,0;0,02;0,0;
-47,8125;-52,72;2,4537506;0,0;0,02;0,0;
-45,0;-49,91;2,455;0,0;0,02;0,0;
-42,1875;-47,1;2,4562492;0,0;0,02;0,0;
-39,375;-44,28;2,4524994;0,0;0,02;0,0;
-36,5625;-41,47;2,4537506;0,0;0,02;0,0;
-33,75;-38,66;2,455;0,0;0,02;0,0;
-30,9375;-35,85;2,4562492;0,0;0,02;0,0;
-28,125;-33,03;2,4524994;0,0;0,02;0,0;
-25,3125;-30,22;2,4537497;0,0;0,02;0,0;
-22,5;-27,41;2,455;0,0;0,02;0,0;
-19,6875;-24,6;2,4562502;0,0;0,02;0,0;
-16,875;-21,78;2,4525003;0,0;0,02;0,0;
-14,0625;-18,97;2,4537497;0,0;0,02;0,0;
-11,25;-16,16;2,455;0,0;0,02;0,0;
-8,4375;-13,35;2,4562502;0,0;0,02;0,0;
-5,625;-10,53;2,4524999;0,0;0,02;0,0;
-2,8125;-7,72;2,45375;0,0;0,02;0,0;
0,0;-4,91;4,91;0,0;0,02;0,0;
0,0;-2,09;1,045;0,0;0,02;0,0;
0,0;-0,9;0,45;-6,25;0,02;-3,135;
0,0;0,3;-0,15;-12,5;0,02;-6,26;
0,0;0,13;-0,065;-18,75;-7,0;-5,875;
0,0;-0,04;0,0;-25,0;-14,03;-5,485;
0,0;-0,04;0,0;-31,25;-20,31;-5,4700003;
0,0;-0,04;0,0;-37,5;-26,59;-5,455;
0,0;-0,04;0,0;-43,75;-32,83;-5,459999;
0,0;-0,04;0,0;-50,0;-39,09;-5,455;
0,0;-0,04;0,0;-43,75;-45,33;0,7900009;
0,0;-0,04;0,0;-37,5;-39,09;0,7950001;
0,0;-0,04;0,0;-31,25;-38,17;3,459999;
0,0;-0,04;0,0;-25,0;-37,26;6,129999;
0,0;-0,04;0,0;-18,75;-30,25;5,75;
0,0;-0,04;0,0;-12,5;-23,23;5,365;
0,0;-0,04;0,0;-6,25;-17,09;5,42;
0,0;-0,04;0,0;0,0;-10,95;5,475;
5,625;-0,04;2,8325;0,0;-4,68;2,34;
11,25;-0,04;5,645;0,0;1,59;-0,795;
16,875;6,42;5,2275;0,0;0,68;-0,34;
22,5;12,88;4,81;0,0;-0,25;0,125;
28,125;18,39;4,8675003;0,0;-0,11;0,055;
